id,category,question_type,prompt,correct_answer,option_b,option_c,helper_text
1,Verbs,fill_in_blank,"Ich ___ gern Musik.",höre,hörst,hört,hören (to hear/listen)
2,Cases,multiple_choice,"Er kauft ___ Apfel.",einen,ein,einem,"der Apfel (masculine)"
3,W-Fragen,fill_in_blank,"___ heißt du?",Wie,Was,Wer,"Asking for a name"
4,Sentences,build_sentence,"Anna|wohnt|in Berlin",Anna wohnt in Berlin.,,,
5,Pronouns,multiple_choice,"Der Lehrer sieht ___.",mich,ich,mir,"ich -> mich (accusative)"
6,Verbs,multiple_choice,"Was ___ du?",machst,mache,macht,"machen (to do)"
7,Articles,fill_in_blank,"Das ist ___ Katze.",eine,einen,ein,"die Katze (feminine)"
8,Haben/Sein,fill_in_blank,"Wir ___ Hunger.",haben,sind,habt,"haben (to have)"
9,Verbs,fill_in_blank,"Er ___ ein Buch.",liest,lese,lesen,"lesen (to read - irregular)"
10,Cases,multiple_choice,"Ich habe ___ Schwester.",eine,einen,ein,"die Schwester (feminine)"
11,W-Fragen,fill_in_blank,"___ kommst du?",Woher,Wo,Wohin,"Asking for origin"
12,Sentences,build_sentence,"spielt|Fußball|er|gern",Er spielt gern Fußball.,,,
13,Pronouns,fill_in_blank,"Kannst du ___ helfen?",mir,mich,ich,"helfen + Dativ (A2 preview)"
14,Verbs,multiple_choice,"Ihr ___ sehr schnell.",sprecht,spreche,sprichst,"sprechen (to speak - irregular)"
15,Articles,fill_in_blank,"Ich brauche ___ Stift.",einen,eine,ein,"der Stift (masculine)"
16,Haben/Sein,fill_in_blank,"___ du müde?",Bist,Hast,Sein,"sein (to be)"
17,Verbs,fill_in_blank,"Sie (Plural) ___ ins Kino.",gehen,geht,gehe,"gehen (to go)"
18,Cases,multiple_choice,"Wir besuchen ___ Freund.",den,der,dem,"der Freund (masculine)"
19,W-Fragen,fill_in_blank,"___ ist das?",Was,Wer,Wie,"Asking about an object"
20,Sentences,build_sentence,"trinken|wir|Kaffee|am Morgen",Wir trinken am Morgen Kaffee.,,,
21,Pronouns,multiple_choice,"Er gibt ___ das Buch.",ihr,sie,sich,"sie -> ihr (dative)"
22,Verbs,fill_in_blank,"Ich ___ morgen nach Hamburg.",fahre,fährst,fahrt,"fahren (to drive/go - irregular)"
23,Articles,multiple_choice,"Das Kind isst ___ Brot.",das,den,der,"das Brot (neuter)"
24,Haben/Sein,fill_in_blank,"Ich ___ ein Auto.",habe,bin,hast,"haben (to have)"
25,Verbs,multiple_choice,"Du ___ die Antwort.",weißt,weiß,wissen,"wissen (to know - irregular)"
26,Cases,fill_in_blank,"Sie hat ___ Idee.",eine,einen,ein,"die Idee (feminine)"
27,W-Fragen,fill_in_blank,"___ kostet der Pullover?",Was,Wie,Wann,"Asking for price"
28,Sentences,build_sentence,"kann|schwimmen|sehr gut|er",Er kann sehr gut schwimmen.,,,
29,Pronouns,fill_in_blank,"Ich kaufe ___ ein Geschenk.",dir,dich,du,"du -> dir (dative)"
30,Verbs,multiple_choice,"Ihr ___ die Tür.",öffnet,öffnen,öffne,"öffnen (to open)"
31,Articles,fill_in_blank,"Hier ist ___ Bahnhof.",der,den,dem,"der Bahnhof (masculine) - Nominative"
32,Haben/Sein,multiple_choice,"___ ihr Geschwister?",Habt,Seid,Haben,"haben (to have)"
33,Verbs,fill_in_blank,"Er ___ seiner Mutter.",hilft,helfe,helfen,"helfen (to help - irregular)"
34,Cases,multiple_choice,"Ich sehe ___ Frau.",die,der,den,"die Frau (feminine)"
35,W-Fragen,fill_in_blank,"___ beginnt der Film?",Wann,Wo,Was,"Asking for time"
36,Sentences,build_sentence,"möchte|eine Pizza|ich|bestellen",Ich möchte eine Pizza bestellen.,,,
37,Pronouns,fill_in_blank,"Das Paket ist für ___.",dich,dir,du,"für + Akkusativ"
38,Verbs,multiple_choice,"Wir ___ das Lied nicht.",kennen,kennt,kenne,"kennen (to know a person/thing)"
39,Articles,fill_in_blank,"Er liest ___ Zeitung.",die,der,das,"die Zeitung (feminine)"
40,Haben/Sein,fill_in_blank,"Er ___ gestern krank.",war,hatte,ist,"sein (to be) - Past Tense (Präteritum)"
41,Verbs,multiple_choice,"Du ___ den Tisch.",nimmst,nehme,nehmt,"nehmen (to take - irregular)"
42,Cases,fill_in_blank,"Wir essen ___ Kuchen.",den,der,dem,"der Kuchen (masculine)"
43,W-Fragen,multiple_choice,"___ ist dein Lieblingsfach?",Was,Wer,Wie,"Asking 'what'"
44,Sentences,build_sentence,"jeden Tag|sie|lernt|Deutsch",Sie lernt jeden Tag Deutsch.,,,
45,Pronouns,multiple_choice,"Wir danken ___ für die Hilfe.",Ihnen,Sie,Ihr,"Sie (formal) -> Ihnen (dative)"
46,Modal Verbs,fill_in_blank,"Ich ___ schwimmen.",kann,können,kannst,"können (can)"
47,Articles,multiple_choice,"Das ist ___ Auto von Paul.",das,den,der,"das Auto (neuter) - Nominative"
48,Haben/Sein,fill_in_blank,"Ihr ___ Recht.",habt,seid,haben,"Recht haben (to be right)"
49,Verbs,multiple_choice,"Der Hund ___ im Garten.",schläft,schlafe,schlafen,"schlafen (to sleep - irregular)"
50,Cases,fill_in_blank,"Ich zeige dem Mann ___ Weg.",den,der,das,"der Weg (masculine)"
51,Verbs,fill_in_blank,"Sie (formal) ___ bitte langsam.",sprechen,sprichst,spreche,"sprechen (to speak)"
52,Cases,multiple_choice,"Ich möchte ___ Kaffee.",einen,ein,einem,"der Kaffee (masculine)"
53,W-Fragen,fill_in_blank,"___ alt bist du?",Wie,Was,Wer,"Asking for age"
54,Sentences,build_sentence,"finde|interessant|den Film|ich",Ich finde den Film interessant.,,,
55,Pronouns,multiple_choice,"Siehst du ___ (Plural)?",uns,wir,unser,"wir -> uns (accusative)"
56,Verbs,multiple_choice,"Er ___ seiner Freundin Blumen.",gibt,gebe,geben,"geben (to give - irregular)"
57,Articles,fill_in_blank,"Wir haben ___ Haus mit Garten.",ein,einen,eine,"das Haus (neuter)"
58,Haben/Sein,fill_in_blank,"Gestern ___ ich keine Zeit.",hatte,war,habe,"haben (to have) - Past Tense (Präteritum)"
59,Verbs,fill_in_blank,"Du ___ mir.",hilfst,helfen,helfe,"helfen (to help - irregular)"
60,Cases,multiple_choice,"Der Junge wirft ___ Ball.",den,der,dem,"der Ball (masculine)"
61,W-Fragen,fill_in_blank,"___ wohnt Peter?",Wo,Was,Wer,"Asking for location"
62,Sentences,build_sentence,"möchtest|essen|was|du|?",Was möchtest du essen?,,,
63,Pronouns,fill_in_blank,"Die Blumen sind für ___.",sie,ihr,ihnen,"sie (she) -> sie (accusative)"
64,Verbs,multiple_choice,"Ihr ___ die Musik.",hört,hören,höre,"hören (to hear)"
65,Articles,multiple_choice,"Dort steht ___ Auto.",ein,einen,eine,"das Auto (neuter)"
66,Haben/Sein,fill_in_blank,"Er ___ keine Angst.",hat,ist,habe,"Angst haben (to be afraid)"
67,Verbs,fill_in_blank,"Ich ___ dich später an.",rufe,rufst,ruft,"anrufen (to call - separable verb)"
68,Cases,multiple_choice,"Die Schülerin fragt ___ Lehrer.",den,der,dem,"der Lehrer (masculine)"
69,W-Fragen,fill_in_blank,"Mit ___ sprichst du?",wem,wen,wer,"Asking about a person (dative)"
70,Sentences,build_sentence,"jeden Morgen|er|trinkt|Kaffee",Er trinkt jeden Morgen Kaffee.,,,
71,Pronouns,multiple_choice,"Ich kann ___ (you all) sehen.",euch,ihr,euer,"ihr -> euch (accusative)"
72,Modal Verbs,fill_in_blank,"Wir ___ morgen früh aufstehen.",müssen,muss,müsst,"müssen (must)"
