vocab_id;word_type;german_word;english_translation;pronunciation_ipa;example_de;example_en;category;tags;frequency;level;difficulty;verb_stem;verb_type;past_participle;comparative;superlative;governs_case;usage_notes;cultural_note
V0001;verb;sein;to be;[zaɪ̯n];Ich bin müde.;I am tired.;Core Verbs;a1-essential,irregular,linking;100;2;3;bin/sei;irregular;gewesen;;;;The most important verb in German. Used as a main verb and for the Perfekt tense.
V0002;verb;haben;to have;[ˈhaːbn̩];Ich habe Hunger.;I am hungry.;Core Verbs;a1-essential,irregular,possession;100;2;3;hab;irregular;gehabt;;;;Used as a main verb and for the Perfekt tense.
V0003;verb;werden;to become, will;[ˈveːɐ̯dn̩];Es wird kalt.;It's getting cold.;Core Verbs;a1-essential,irregular,future;99;25;4;werd/wird;irregular;geworden;;;;Used for 'to become' and to form the future tense.
V0004;verb;können;can, to be able to;[ˈkœnən];Ich kann Deutsch sprechen.;I can speak German.;Modal Verbs;a1-essential,modal,ability;99;10;3;kann;modal;gekonnt;;;;The `ich` and `er/sie/es` forms are identical: `ich kann, er kann`.
V0005;verb;müssen;must, to have to;[ˈmʏsn̩];Ich muss jetzt gehen.;I have to go now.;Modal Verbs;a1-essential,modal,necessity;98;18;3;muss;modal;gemusst;;;;`nicht müssen` means 'to not have to'.
V0006;verb;wollen;to want to;[ˈvɔlən];Ich will ein Eis.;I want an ice cream.;Modal Verbs;a1-essential,modal,desire;98;10;3;will;modal;gewollt;;;;Can sound demanding; `möchten` is often more polite.
V0007;verb;sagen;to say, to tell;[ˈzaːɡn̩];Was hast du gesagt?;What did you say?;Communication Verbs;a1-essential,common;97;7;2;sag;regular;gesagt;;;;;
V0008;verb;machen;to do, to make;[ˈmaxn̩];Ich mache meine Hausaufgaben.;I'm doing my homework.;Action Verbs;a1-essential,common,versatile;97;4;2;mach;regular;gemacht;;;;;
V0009;verb;geben;to give;[ˈɡeːbən];Kannst du mir das Buch geben?;Can you give me the book?;Action Verbs;a1-essential,irregular,dative;96;9;3;geb/gib;irregular;gegeben;;;;Often takes a dative object (the receiver). Vowel change e->i.
V0010;verb;kommen;to come;[ˈkɔmən];Ich komme aus Spanien.;I come from Spain.;Movement Verbs;a1-essential,irregular;96;1;3;komm;irregular;gekommen;;;;Used with `sein` in Perfekt tense.
V0011;verb;gehen;to go, to walk;[ˈɡeːən];Wir gehen ins Kino.;We are going to the cinema.;Movement Verbs;a1-essential,irregular;95;5;3;geh;irregular;gegangen;;;;Used with `sein` in Perfekt tense.
V0012;verb;wissen;to know (a fact);[ˈvɪsn̩];Ich weiß das nicht.;I don't know that.;Cognitive Verbs;a1-essential,irregular;95;15;4;weiß;irregular;gewusst;;;;`ich weiß, du weißt, er weiß`. Different from `kennen` (to be familiar with).
V0013;verb;sehen;to see;[ˈzeːən];Ich sehe den Hund.;I see the dog.;Sensory Verbs;a1-essential,irregular;94;9;3;seh/sieh;irregular;gesehen;;;;Vowel change e->ie.
V0014;verb;sprechen;to speak;[ˈʃpʁɛçn̩];Sprechen Sie Englisch?;Do you speak English?;Communication Verbs;a1-essential,irregular;94;9;3;sprech/sprich;irregular;gesprochen;;;;Vowel change e->i.
V0015;verb;stehen;to stand;[ˈʃteːən];Das Auto steht vor dem Haus.;The car is standing in front of the house.;Positional Verbs;a1-essential,irregular;93;14;3;steh;irregular;gestanden;;;;;
V0016;verb;finden;to find;[ˈfɪndn̩];Ich kann meinen Schlüssel nicht finden.;I can't find my key.;Action Verbs;a1-essential,irregular;93;8;3;find;irregular;gefunden;;;;;
V0017;verb;bleiben;to stay, to remain;[ˈblaɪ̯bən];Ich bleibe heute zu Hause.;I'm staying home today.;Positional Verbs;a1-essential,irregular;92;17;3;bleib;irregular;geblieben;;;;Used with `sein` in Perfekt tense.
V0018;verb;liegen;to lie (be located);[ˈliːɡn̩];Das Buch liegt auf dem Tisch.;The book is lying on the table.;Positional Verbs;a1-essential,irregular;92;16;3;lieg;irregular;gelegen;;;;;
V0019;verb;heißen;to be called;[ˈhaɪ̯sn̩];Wie heißen Sie?;What is your name?;Core Verbs;a1-essential,irregular;91;1;3;heiß;irregular;geheißen;;;;Used for names.
V0020;verb;denken;to think;[ˈdɛŋkən];Was denkst du?;What do you think?;Cognitive Verbs;a1-essential,irregular;91;15;3;denk;irregular;gedacht;;;;;
V0021;pronoun;ich;I;[ɪç];Ich lerne Deutsch.;I am learning German.;Pronouns (Nominative);a1-essential,pronoun;100;1;1;;;;;;;
V0022;pronoun;du;you (singular, informal);[duː];Wie heißt du?;What is your name?;Pronouns (Nominative);a1-essential,pronoun;100;1;1;;;;;;;
V0023;pronoun;er;he;[eːɐ̯];Er kommt aus Berlin.;He comes from Berlin.;Pronouns (Nominative);a1-essential,pronoun;100;2;1;;;;;;;
V0024;pronoun;sie;she, they;[ziː];Sie liest ein Buch.;She is reading a book.;Pronouns (Nominative);a1-essential,pronoun;100;2;1;;;;;;Can mean 'she' or 'they'. Context is key.
V0025;pronoun;es;it;[ɛs];Es regnet.;It is raining.;Pronouns (Nominative);a1-essential,pronoun;100;2;1;;;;;;;
V0026;pronoun;wir;we;[viːɐ̯];Wir gehen zusammen.;We are going together.;Pronouns (Nominative);a1-essential,pronoun;100;4;1;;;;;;;
V0027;pronoun;ihr;you (plural, informal);[iːɐ̯];Was macht ihr?;What are you all doing?;Pronouns (Nominative);a1-essential,pronoun;100;4;1;;;;;;;
V0028;pronoun;Sie;you (formal);[ziː];Wie heißen Sie?;What is your name?;Pronouns (Nominative);a1-essential,pronoun;100;1;1;;;;;;Always capitalized.
V0029;pronoun;mich;me (accusative);[mɪç];Er sieht mich.;He sees me.;Pronouns (Accusative);a1-essential,pronoun;98;6;1;;;;;;;
V0030;pronoun;dich;you (accusative);[dɪç];Ich liebe dich.;I love you.;Pronouns (Accusative);a1-essential,pronoun;98;6;1;;;;;;;
V0031;pronoun;ihn;him (accusative);[iːn];Ich frage ihn.;I ask him.;Pronouns (Accusative);a1-essential,pronoun;98;6;1;;;;;;;
V0032;pronoun;uns;us (accusative/dative);[ʊns];Er besucht uns.;He is visiting us.;Pronouns (Accusative/Dative);a1-essential,pronoun;98;6;1;;;;;;;
V0033;pronoun;euch;you all (accusative/dative);[ɔʏç];Ich sehe euch.;I see you all.;Pronouns (Accusative/Dative);a1-essential,pronoun;98;4;1;;;;;;;
V0034;pronoun;mir;me (dative);[miːɐ̯];Kannst du mir helfen?;Can you help me?;Pronouns (Dative);a1-essential,pronoun;97;12;1;;;;;;;
V0035;pronoun;dir;you (dative);[diːɐ̯];Wie geht es dir?;How are you?;Pronouns (Dative);a1-essential,pronoun;97;12;1;;;;;;;
V0036;pronoun;ihm;him (dative);[iːm];Ich gebe ihm das Buch.;I give him the book.;Pronouns (Dative);a1-essential,pronoun;97;12;1;;;;;;;
V0037;pronoun;ihr;her (dative);[iːɐ̯];Ich danke ihr.;I thank her.;Pronouns (Dative);a1-essential,pronoun;97;12;1;;;;;;Also means 'you all' (Nom.) and 'her/their' (possessive). Context is everything.
V0038;pronoun;Ihnen;you (formal, dative);[ˈiːnən];Wie kann ich Ihnen helfen?;How can I help you?;Pronouns (Dative);a1-essential,pronoun;97;1;1;;;;;;Always capitalized.
V0039;adjective;gut;good;[ɡuːt];Das Essen ist gut.;The food is good.;Adjectives (Quality);a1-essential,common;99;3;1;;;;besser;am besten;;
V0040;adjective;schlecht;bad;[ʃlɛçt];Das Wetter ist schlecht.;The weather is bad.;Adjectives (Quality);a1-essential,common;95;22;1;;;;schlechter;am schlechtesten;;
V0041;adjective;groß;big, large, tall;[ɡʁoːs];München ist eine große Stadt.;Munich is a big city.;Adjectives (Size);a1-essential,common;98;3;1;;;;größer;am größten;;
V0042;adjective;klein;small, little;[klaɪ̯n];Meine Wohnung ist klein.;My apartment is small.;Adjectives (Size);a1-essential,common;98;5;1;;;;kleiner;am kleinsten;;
V0043;adjective;neu;new;[nɔɪ̯];Ich habe ein neues Auto.;I have a new car.;Adjectives (Condition);a1-essential,common;96;5;1;;;;neuer;am neuesten;;
V0044;adjective;alt;old;[alt];Mein Opa ist sehr alt.;My grandpa is very old.;Adjectives (Condition);a1-essential,common;96;9;1;;;;älter;am ältesten;;
V0045;adverb;hier;here;[hiːɐ̯];Ich bin hier.;I am here.;Adverbs (Place);a1-essential,common;99;3;1;;;;;;;
V0046;adverb;dort;there;[dɔʁt];Der Bahnhof ist dort.;The train station is there.;Adverbs (Place);a1-essential,common;98;7;1;;;;;;;
V0047;adverb;jetzt;now;[jɛt͡st];Ich habe jetzt keine Zeit.;I have no time now.;Adverbs (Time);a1-essential,common;99;10;1;;;;;;;
V0048;adverb;heute;today;[ˈhɔɪ̯tə];Heute ist Montag.;Today is Monday.;Adverbs (Time);a1-essential,common;98;5;1;;;;;;;
V0049;adverb;morgen;tomorrow;[ˈmɔʁɡn̩];Morgen habe ich frei.;Tomorrow I have off.;Adverbs (Time);a1-essential,common;97;14;1;;;;;;;Not to be confused with `der Morgen` (the morning).
V0050;adverb;gestern;yesterday;[ˈɡɛstɐn];Gestern war ich im Kino.;Yesterday I was at the cinema.;Adverbs (Time);a1-essential,common;96;15;1;;;;;;;
V0051;preposition;in;in, into;[ɪn];Ich bin in der Küche.;I am in the kitchen.;Prepositions (Two-Way);a1-essential,preposition;99;18;3;;;;;;two-way;Dative for location (Wo?), Accusative for direction (Wohin?).
V0052;preposition;an;at, on (vertical surface);[an];Das Bild hängt an der Wand.;The picture is hanging on the wall.;Prepositions (Two-Way);a1-essential,preposition;98;18;3;;;;;;two-way;Dative for location, Accusative for direction.
V0053;preposition;auf;on (horizontal surface);[aʊ̯f];Das Buch liegt auf dem Tisch.;The book is on the table.;Prepositions (Two-Way);a1-essential,preposition;98;18;3;;;;;;two-way;Dative for location, Accusative for direction.
V0054;preposition;mit;with;[mɪt];Ich fahre mit dem Bus.;I am going by bus.;Prepositions (Dative);a1-essential,preposition;99;13;2;;;;;;dative;;
