data_id;rule_id;context_type;base_form;transformed_form;full_context_de;full_context_en;focus_element;transformation_type;case_involved;person_number;tense_mood;difficulty;tags;cultural_note
GD001;G001;transformation;Wie heißt du?;Wie heißen Sie?;Beim Amt fragt man: ""Wie heißen Sie?"";At the office, you ask: ""What is your name?"";du -> Sie;formality_change;;;present;1;formal,pronoun;Using 'Sie' is mandatory when addressing officials.
GD002;G001;transformation;Kommst du aus England?;Kommen Sie aus England?;Auf einer Konferenz fragt man: ""Kommen Sie aus England?"";At a conference, you ask: ""Do you come from England?"";Kommst du -> Kommen Sie;formality_change;;;present;1;formal,pronoun;
GD003;G005;conjugation;ich lerne;du lernst;Du lernst sehr schnell.;You learn very quickly.;-st ending;conjugation;;2sg;present;1;verb,regular;
GD004;G005;conjugation;ich lerne;er lernt;Er lernt Deutsch in der Schule.;He learns German at school.;-t ending;conjugation;;3sg;present;1;verb,regular;
GD005;G005;conjugation;wir machen;ihr macht;Was macht ihr heute?;What are you all doing today?;-t ending;conjugation;;2pl;present;1;verb,regular;
GD006;G005;conjugation;ich kaufe;sie kauft;Sie kauft im Supermarkt ein.;She is shopping in the supermarket.;-t ending;conjugation;;3sg;present;1;verb,regular;
GD007;G005;conjugation;du wohnst;wir wohnen;Wir wohnen in einer kleinen Wohnung.;We live in a small apartment.;-en ending;conjugation;;1pl;present;1;verb,regular;
GD008;G008;conjugation;ich bin;du bist;Du bist mein bester Freund.;You are my best friend.;sein -> bist;conjugation;;2sg;present;2;verb,irregular,sein;
GD009;G008;conjugation;ich bin;er ist;Er ist nicht zu Hause.;He is not at home.;sein -> ist;conjugation;;3sg;present;2;verb,irregular,sein;
GD010;G008;conjugation;wir sind;ihr seid;Ihr seid sehr nett.;You are all very nice.;sein -> seid;conjugation;;2pl;present;2;verb,irregular,sein;
GD011;G008;conjugation;ich habe;du hast;Hast du einen Moment Zeit?;Do you have a moment of time?;haben -> hast;conjugation;;2sg;present;2;verb,irregular,haben;
GD012;G008;conjugation;ich habe;er hat;Er hat blaue Augen.;He has blue eyes.;haben -> hat;conjugation;;3sg;present;2;verb,irregular,haben;
GD013;G008;conjugation;wir haben;ihr habt;Was habt ihr?;What do you all have?;haben -> habt;conjugation;;2pl;present;2;verb,irregular,haben;
GD014;G006;declension;der Stuhl;den Stuhl;Ich kaufe den Stuhl.;I am buying the chair.;der -> den;declension;acc;;present;2;accusative,masculine;
GD015;G006;declension;ein Tisch;einen Tisch;Wir brauchen einen neuen Tisch.;We need a new table.;ein -> einen;declension;acc;;present;2;accusative,masculine;
GD016;G006;declension;kein Apfel;keinen Apfel;Ich esse keinen Apfel.;I am not eating an apple.;kein -> keinen;declension;acc;;present;2;accusative,masculine,negation;
GD017;G006;declension;der Hund;den Hund;Siehst du den Hund dort?;Do you see the dog over there?;der -> den;declension;acc;;present;2;accusative,masculine;
GD018;G006;declension;der Kaffee;den Kaffee;Ich trinke meinen Kaffee schwarz.;I drink my coffee black.;der -> den (mein*en*);declension;acc;;present;2;accusative,masculine;
GD019;G006;declension;der Salat;den Salat;Er bestellt den Salat.;He orders the salad.;der -> den;declension;acc;;present;2;accusative,masculine;
GD020;G006;declension;ein Freund;einen Freund;Ich besuche einen Freund in Hamburg.;I am visiting a friend in Hamburg.;ein -> einen;declension;acc;;present;2;accusative,masculine;
GD021;G006;declension;der Lehrer;den Lehrer;Die Schüler fragen den Lehrer.;The students ask the teacher.;der -> den;declension;acc;;present;2;accusative,masculine;
GD022;G006;declension;der Wein;den Wein;Möchtest du den Wein probieren?;Would you like to try the wine?;der -> den;declension;acc;;present;2;accusative,masculine;
GD023;G006;declension;ein Mantel;einen Mantel;Er trägt einen langen Mantel.;He is wearing a long coat.;ein -> einen;declension;acc;;present;2;accusative,masculine;
GD024;G006;declension;die Lampe;die Lampe;Ich sehe die Lampe.;I see the lamp.;die -> die (no change);declension;acc;;present;1;accusative,feminine;
GD025;G006;declension;eine Katze;eine Katze;Sie hat eine Katze.;She has a cat.;eine -> eine (no change);declension;acc;;present;1;accusative,feminine;
GD026;G006;declension;das Buch;das Buch;Er liest das Buch.;He is reading the book.;das -> das (no change);declension;acc;;present;1;accusative,neuter;
GD027;G006;declension;ein Auto;ein Auto;Wir kaufen ein Auto.;We are buying a car.;ein -> ein (no change);declension;acc;;present;1;accusative,neuter;
GD028;G002;word_order;Ich gehe heute.;Heute gehe ich.;Ich -> Heute;word_order;;;present;2;word-order,v2-rule;
GD029;G002;word_order;Wir lernen am Montag Deutsch.;Am Montag lernen wir Deutsch.;Wir -> Am Montag;word_order;;;present;2;word-order,v2-rule,inversion;
GD030;G002;word_order;Er ist jetzt hier.;Jetzt ist er hier.;Er -> Jetzt;word_order;;;present;2;word-order,v2-rule,inversion;
GD031;G014;word_order;Du kommst aus Berlin.;Kommst du aus Berlin?;Statement -> Question;word_order;;;present;1;word-order,question,ja-nein;
GD032;G014;word_order;Sie haben Zeit.;Haben Sie Zeit?;Statement -> Question;word_order;;;present;1;word-order,question,ja-nein;
GD033;G015;word_order;Du heißt wie?;Wie heißt du?;Statement -> Question;word_order;;;present;1;word-order,question,w-frage;
GD034;G015;word_order;Der Bahnhof ist wo?;Wo ist der Bahnhof?;Statement -> Question;word_order;;;present;1;word-order,question,w-frage;
GD035;G009;conjugation;ich spreche;du sprichst;Du sprichst sehr gut Deutsch.;You speak German very well.;e -> i;conjugation;;2sg;present;3;verb,irregular,vowel-change;
GD036;G009;conjugation;er gibt;ich gebe;Ich gebe dir das Buch.;I am giving you the book.;i -> e;conjugation;;1sg;present;3;verb,irregular,vowel-change;
