german,english,pronunciation,type,tags,frequency,example,example_translation
sein,to be,[zaɪn],verb,verb|essential|basic|irregular,9,Ich bin Studentin.,I am a student.
haben,to have,[ˈhaːbən],verb,verb|essential|basic|irregular,9,Ich habe einen Hund.,I have a dog.
werden,to become,[ˈveːɐ̯dən],verb,verb|essential|basic|irregular,9,Ich werde Lehrer.,I become a teacher.
können,can/to be able to,[ˈkœnən],verb,verb|modal|essential,9,Ich kann schwimmen.,I can swim.
müssen,must/to have to,[ˈmʏsən],verb,verb|modal|essential,9,Ich muss arbeiten.,I must work.
wollen,to want to,[ˈvɔlən],verb,verb|modal|essential,8,Ich will nach Hause gehen.,I want to go home.
sollen,should/to be supposed to,[ˈzɔlən],verb,verb|modal|essential,8,Du sollst pünktlich sein.,You should be punctual.
dürfen,may/to be allowed to,[ˈdʏʁfn̩],verb,verb|modal|essential,7,Hier dürfen Sie nicht rauchen.,You are not allowed to smoke here.
möchten,would like to,[ˈmœçtn̩],verb,verb|modal|essential,9,Ich möchte einen Kaffee bestellen.,I would like to order a coffee.
machen,to do/to make,[ˈmaxn̩],verb,verb|essential|basic,9,Wir machen eine Party.,We are having a party.
geben,to give,[ˈɡeːbn̩],verb,verb|essential|basic|irregular,8,Kannst du mir das Salz geben?,Can you give me the salt?
kommen,to come,[ˈkɔmən],verb,verb|essential|basic|irregular,8,Sie kommt aus Spanien.,She comes from Spain.
gehen,to go,[ˈɡeːən],verb,verb|essential|basic|irregular,9,Ich gehe ins Kino.,I am going to the cinema.
sagen,to say,[ˈzaːɡn̩],verb,verb|essential|basic,8,Was hast du gesagt?,What did you say?
sehen,to see,[ˈzeːən],verb,verb|essential|basic|irregular,8,Ich sehe einen Vogel.,I see a bird.
sprechen,to speak,[ˈʃpʁɛçn̩],verb,verb|essential|basic|irregular,8,Sprechen Sie Deutsch?,Do you speak German?
stehen,to stand,[ˈʃteːən],verb,verb|essential|basic|irregular,7,Das Auto steht vor dem Haus.,The car is standing in front of the house.
nehmen,to take,[ˈneːmən],verb,verb|essential|basic|irregular,7,Ich nehme den Bus.,I am taking the bus.
tun,to do,[tuːn],verb,verb|essential|basic|irregular,6,Was kann ich für Sie tun?,What can I do for you?
fahren,to drive/to travel,[ˈfaːʁən],verb,verb|essential|basic|irregular,8,Wir fahren in den Urlaub.,We are going on vacation.
finden,to find,[ˈfɪndn̩],verb,verb|essential|basic,7,Ich finde meine Schlüssel nicht.,I can't find my keys.
bleiben,to stay,[ˈblaɪbn̩],verb,verb|essential|basic|irregular,7,Ich bleibe heute zu Hause.,I am staying at home today.
liegen,to lie (be located),[ˈliːɡn̩],verb,verb|essential|basic|irregular,6,Das Buch liegt auf dem Tisch.,The book is lying on the table.
heißen,to be called,[ˈhaɪsn̩],verb,verb|essential|basic|irregular,9,Wie heißen Sie?,What is your name?
denken,to think,[ˈdɛŋkn̩],verb,verb|essential|basic|irregular,6,Ich denke, das ist eine gute Idee.,I think that is a good idea.
fragen,to ask,[ˈfʁaːɡn̩],verb,verb|essential|basic,8,Ich muss dich etwas fragen.,I have to ask you something.
kennen,to know (a person/place),[ˈkɛnən],verb,verb|essential|basic|irregular,7,Kennen Sie diese Stadt?,Do you know this city?
wissen,to know (a fact),[ˈvɪsn̩],verb,verb|essential|basic|irregular,7,Ich weiß die Antwort nicht.,I don't know the answer.
arbeiten,to work,[ˈaʁbaɪtn̩],verb,verb|essential|basic,8,Er arbeitet bei einer Bank.,He works at a bank.
brauchen,to need,[ˈbʁaʊxən],verb,verb|essential|basic,8,Ich brauche Hilfe.,I need help.
folgen,to follow,[ˈfɔlɡn̩],verb,verb|dative|basic,5,Bitte folgen Sie mir.,Please follow me.
lernen,to learn,[ˈlɛʁnən],verb,verb|essential|basic,8,Ich lerne Deutsch.,I am learning German.
verstehen,to understand,[fɛɐ̯ˈʃteːən],verb,verb|essential|basic|irregular,8,Ich verstehe die Frage nicht.,I don't understand the question.
essen,to eat,[ˈɛsn̩],verb,verb|essential|basic|irregular,8,Was isst du gern?,What do you like to eat?
trinken,to drink,[ˈtʁɪŋkn̩],verb,verb|essential|basic,8,Ich trinke jeden Morgen Kaffee.,I drink coffee every morning.
kaufen,to buy,[ˈkaʊfn̩],verb,verb|essential|basic,8,Sie kauft ein neues Kleid.,She is buying a new dress.
verkaufen,to sell,[fɛɐ̯ˈkaʊfn̩],verb,verb|basic,6,Er verkauft sein altes Auto.,He is selling his old car.
bezahlen,to pay,[bəˈtsaːlən],verb,verb|essential|basic,8,Kann ich mit Karte bezahlen?,Can I pay with a card?
kosten,to cost,[ˈkɔstn̩],verb,verb|essential|basic,8,Was kostet das?,How much does that cost?
